Date,Rank,Song,Artist,LastWeek,PeakRank,WeeksOnBoard
9/9/2017,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1.0,1,32
9/9/2006,1,SexyBack,Justin Timberlake,31.0,1,8
9/9/2000,1,Doesn't Really Matter,Janet,1.0,1,13
9/9/1995,1,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,2.0,1,4
9/9/1989,1,Hangin' Tough,New Kids On The Block,3.0,1,9
9/9/1978,1,Boogie Oogie Oogie,A Taste Of Honey,3.0,1,12
9/9/1972,1,Alone Again (Naturally),Gilbert O'Sullivan,1.0,1,13
9/9/1967,1,Ode To Billie Joe,Bobbie Gentry,1.0,1,6
9/8/2018,1,In My Feelings,Drake,1.0,1,9
9/8/2012,1,We Are Never Ever Getting Back Together,Taylor Swift,1.0,1,3
9/8/2007,1,Big Girls Don't Cry,Fergie,2.0,1,19
9/8/2001,1,I'm Real,Jennifer Lopez Featuring Ja Rule,2.0,1,10
9/8/1990,1,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,2.0,1,8
9/8/1984,1,What's Love Got To Do With It,Tina Turner,1.0,1,17
9/8/1979,1,My Sharona,The Knack,1.0,1,12
9/8/1973,1,Let's Get It On,Marvin Gaye,2.0,1,9
9/8/1962,1,Sheila,Tommy Roe,1.0,1,7
9/8/1958,1,Nel Blu Dipinto Di Blu (Volar��),Domenico Modugno,1.0,1,6
9/7/2019,1,Truth Hurts,Lizzo,3.0,1,17
9/7/2013,1,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1.0,1,19
9/7/2002,1,Dilemma,Nelly Featuring Kelly Rowland,1.0,1,9
9/7/1996,1,Macarena (Bayside Boys Mix),Los Del Rio,1.0,1,38
9/7/1991,1,(Everything I Do) I Do It For You,Bryan Adams,1.0,1,11
9/7/1985,1,St. Elmo's Fire (Man In Motion),John Parr,2.0,1,12
9/7/1974,1,(You're) Having My Baby,Paul Anka with Odia Coates,1.0,1,10
9/7/1968,1,People Got To Be Free,The Rascals,1.0,1,8
9/7/1963,1,My Boyfriend's Back,The Angels,1.0,1,6
9/7/1959,1,The Three Bells,The Browns,1.0,1,7
9/6/2014,1,Shake It Off,Taylor Swift,,1,1
9/6/2008,1,Whatever You Like,T.I.,71.0,1,3
9/6/2003,1,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",3.0,1,11
9/6/1997,1,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,1.0,1,6
9/6/1986,1,Venus,Bananarama,2.0,1,11
9/6/1980,1,Upside Down,Diana Ross,2.0,1,9
9/6/1975,1,Rhinestone Cowboy,Glen Campbell,3.0,1,15
9/6/1969,1,Honky Tonk Women,The Rolling Stones,1.0,1,8
9/5/2020,1,Dynamite,BTS,,1,1
9/5/2015,1,Cheerleader,OMI,1.0,1,18
9/5/2009,1,I Gotta Feeling,The Black Eyed Peas,1.0,1,11
9/5/1998,1,I Don't Want To Miss A Thing,Aerosmith,,1,1
9/5/1992,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,1.0,1,8
9/5/1987,1,La Bamba,Los Lobos,1.0,1,11
9/5/1981,1,Endless Love,Diana Ross & Lionel Richie,1.0,1,9
9/5/1970,1,War,Edwin Starr,1.0,1,9
9/5/1964,1,House Of The Rising Sun,The Animals,2.0,1,5
9/5/1960,1,It's Now Or Never,Elvis Presley With The Jordanaires,1.0,1,8
9/4/2021,1,Stay,The Kid LAROI & Justin Bieber,1.0,1,7
9/4/2010,1,Love The Way You Lie,Eminem Featuring Rihanna,1.0,1,9
9/4/2004,1,Lean Back,Terror Squad,1.0,1,11
